iter	Passed	Remaining
900	11265	1237
901	11277	1225
902	11290	1212
903	11302	1200
904	11314	1187
905	11326	1175
906	11339	1162
907	11351	1150
908	11363	1137
909	11376	1125
910	11388	1112
911	11400	1100
912	11413	1087
913	11425	1075
914	11437	1062
915	11450	1050
916	11463	1037
917	11476	1025
918	11489	1012
919	11501	1000
920	11513	987
921	11525	975
922	11538	962
923	11550	950
924	11563	937
925	11576	925
926	11589	912
927	11601	900
928	11613	887
929	11626	875
930	11638	862
931	11651	850
932	11664	837
933	11677	825
934	11689	812
935	11701	800
936	11714	787
937	11727	775
938	11740	762
939	11752	750
940	11765	737
941	11777	725
942	11789	712
943	11802	700
944	11814	687
945	11826	675
946	11839	662
947	11851	650
948	11864	637
949	11877	625
950	11889	612
951	11902	600
952	11916	587
953	11928	575
954	11941	562
955	11953	550
956	11965	537
957	11978	525
958	11990	512
959	12002	500
960	12014	487
961	12027	475
962	12039	462
963	12052	450
964	12065	437
965	12077	425
966	12090	412
967	12102	400
968	12115	387
969	12128	375
970	12140	362
971	12153	350
972	12165	337
973	12178	325
974	12190	312
975	12202	300
976	12215	287
977	12227	275
978	12240	262
979	12252	250
980	12264	237
981	12278	225
982	12290	212
983	12304	200
984	12316	187
985	12328	175
986	12341	162
987	12353	150
988	12367	137
989	12379	125
990	12392	112
991	12404	100
992	12417	87
993	12429	75
994	12441	62
995	12455	50
996	12468	37
997	12480	25
998	12492	12
999	12505	0
